user_id,join_date,device_type,traffic_source
1,2026-05-17 03:25:55.149445,Desktop,Organic
2,2026-05-21 07:20:23.680912,Tablet,Organic
3,2026-06-02 17:22:22.481595,Desktop,Email
4,2026-05-19 22:21:07.343289,Tablet,Organic
5,2026-06-02 02:17:07.030461,Mobile,Direct
6,2026-06-03 22:00:20.553994,Mobile,Email
7,2026-05-27 18:27:02.526117,Desktop,Organic
8,2026-05-14 18:46:31.396104,Tablet,Email
9,2026-05-18 02:26:28.221731,Mobile,Paid Social
10,2026-05-10 09:03:46.160574,Mobile,Organic
11,2026-05-27 20:23:04.275808,Tablet,Direct
12,2026-05-26 15:09:14.527982,Desktop,Paid Social
13,2026-05-31 04:01:38.088110,Tablet,Paid Social
14,2026-05-28 18:39:01.732461,Mobile,Email
15,2026-05-12 17:58:49.527638,Desktop,Paid Social
16,2026-05-11 08:28:10.108263,Tablet,Email
17,2026-05-12 09:24:40.833475,Mobile,Direct
18,2026-05-14 00:00:19.796434,Mobile,Paid Social
19,2026-05-14 02:53:25.467690,Tablet,Direct
20,2026-06-01 19:06:55.129571,Desktop,Direct
21,2026-05-14 13:18:27.830227,Mobile,Email
22,2026-05-31 13:24:26.774614,Desktop,Direct
23,2026-05-08 22:42:15.634728,Mobile,Paid Social
24,2026-05-09 19:05:20.237891,Desktop,Organic
25,2026-05-26 00:39:32.823481,Tablet,Email
26,2026-05-23 05:28:48.274592,Tablet,Email
27,2026-05-16 16:04:45.719579,Mobile,Direct
28,2026-05-30 22:22:49.336030,Tablet,Email
29,2026-05-26 21:49:45.909996,Desktop,Organic
30,2026-05-29 11:10:28.942863,Mobile,Organic
31,2026-06-01 13:43:26.677688,Desktop,Organic
32,2026-05-16 09:37:46.629188,Mobile,Paid Social
33,2026-06-02 03:04:28.909681,Mobile,Email
34,2026-05-27 22:55:41.186497,Mobile,Paid Social
35,2026-06-05 12:03:36.713373,Mobile,Direct
36,2026-05-23 09:12:43.776498,Tablet,Email
37,2026-05-16 22:01:48.987327,Desktop,Organic
38,2026-05-27 18:49:14.131322,Desktop,Email
39,2026-05-08 07:14:07.402610,Mobile,Direct
40,2026-05-24 21:55:28.258152,Mobile,Paid Social
41,2026-05-28 03:29:07.552014,Desktop,Organic
42,2026-05-14 12:47:23.449171,Desktop,Email
43,2026-05-21 17:15:22.564578,Tablet,Email
44,2026-05-19 13:38:52.009531,Desktop,Direct
45,2026-05-10 04:53:32.823281,Desktop,Email
46,2026-05-25 01:05:33.530516,Mobile,Direct
47,2026-05-24 18:39:49.075848,Desktop,Organic
48,2026-05-15 12:01:21.830056,Tablet,Direct
49,2026-05-28 01:59:19.568242,Mobile,Email
50,2026-05-07 09:41:57.478131,Mobile,Direct
51,2026-05-16 13:04:55.790604,Tablet,Direct
52,2026-05-14 19:41:34.341392,Tablet,Paid Social
53,2026-05-28 04:30:28.039367,Desktop,Email
54,2026-05-24 19:12:46.446399,Tablet,Email
55,2026-05-24 07:49:06.460704,Desktop,Paid Social
56,2026-05-19 22:07:09.108341,Mobile,Organic
57,2026-06-01 09:51:55.923508,Desktop,Email
58,2026-05-12 12:35:12.720230,Desktop,Paid Social
59,2026-05-18 15:41:35.530784,Mobile,Email
60,2026-05-16 00:37:06.393969,Tablet,Organic
61,2026-05-20 06:15:54.739639,Desktop,Paid Social
62,2026-05-22 19:34:33.097427,Mobile,Paid Social
63,2026-06-05 17:39:44.482776,Mobile,Organic
64,2026-05-11 03:51:18.850466,Mobile,Paid Social
65,2026-05-17 16:29:48.924359,Mobile,Email
66,2026-05-18 04:13:14.327275,Desktop,Paid Social
67,2026-05-12 10:14:50.267280,Mobile,Direct
68,2026-05-11 21:12:59.982565,Tablet,Paid Social
69,2026-05-10 17:52:43.685665,Desktop,Organic
70,2026-05-11 14:02:35.620853,Desktop,Organic
71,2026-05-27 02:41:00.504642,Mobile,Email
72,2026-05-11 20:20:39.067604,Tablet,Email
73,2026-06-02 08:20:43.605988,Desktop,Organic
74,2026-05-13 19:09:50.602112,Desktop,Organic
75,2026-06-01 04:03:52.410839,Desktop,Organic
76,2026-05-09 12:32:26.102178,Mobile,Direct
77,2026-05-16 16:32:37.876774,Tablet,Paid Social
78,2026-05-18 14:56:28.787826,Desktop,Organic
79,2026-05-23 00:34:36.096364,Mobile,Paid Social
80,2026-06-05 08:36:06.783088,Mobile,Paid Social
81,2026-05-20 07:59:23.917175,Desktop,Email
82,2026-05-19 19:00:40.609836,Tablet,Paid Social
83,2026-05-15 09:46:47.711509,Tablet,Organic
84,2026-05-19 08:46:55.964544,Desktop,Organic
85,2026-06-04 10:51:55.498087,Mobile,Email
86,2026-06-05 10:01:43.317647,Tablet,Organic
87,2026-05-23 19:01:32.113617,Mobile,Email
88,2026-05-21 19:05:07.381012,Desktop,Email
89,2026-05-29 08:16:23.651191,Tablet,Email
90,2026-05-20 16:57:57.995347,Mobile,Paid Social
91,2026-05-20 06:12:24.150183,Mobile,Organic
92,2026-05-28 04:08:29.678828,Mobile,Direct
93,2026-06-05 03:52:54.116532,Desktop,Organic
94,2026-06-02 19:22:46.540477,Tablet,Direct
95,2026-05-27 00:12:23.401785,Tablet,Direct
96,2026-05-12 12:45:12.411499,Tablet,Direct
97,2026-05-27 00:40:32.174797,Tablet,Paid Social
98,2026-05-08 17:09:52.847428,Desktop,Organic
99,2026-05-18 08:11:30.485990,Tablet,Organic
100,2026-05-19 14:55:07.715303,Desktop,Direct
101,2026-05-19 07:56:01.279498,Tablet,Organic
102,2026-05-24 11:41:12.356768,Mobile,Direct
103,2026-06-02 23:56:03.175927,Tablet,Organic
104,2026-05-22 22:17:53.325258,Tablet,Email
105,2026-05-27 07:27:48.833289,Mobile,Paid Social
106,2026-05-30 07:47:57.566768,Desktop,Direct
107,2026-05-12 17:12:12.950318,Mobile,Email
108,2026-05-07 13:34:58.733512,Tablet,Direct
109,2026-05-25 05:44:48.387056,Mobile,Organic
110,2026-05-23 00:50:18.091161,Mobile,Email
111,2026-05-13 04:47:48.912877,Mobile,Organic
112,2026-05-20 22:05:23.653734,Tablet,Paid Social
113,2026-05-31 14:57:55.184377,Tablet,Paid Social
114,2026-05-29 21:43:37.827169,Desktop,Organic
115,2026-05-22 05:08:59.324519,Mobile,Direct
116,2026-05-21 09:08:14.910619,Mobile,Paid Social
117,2026-05-18 05:32:15.612800,Desktop,Paid Social
118,2026-05-17 12:22:15.941448,Tablet,Organic
119,2026-05-21 16:02:42.121994,Desktop,Organic
120,2026-05-13 18:24:35.001227,Mobile,Direct
121,2026-05-30 12:59:56.574723,Tablet,Email
122,2026-05-21 21:49:51.404679,Tablet,Email
123,2026-05-18 08:39:08.973174,Tablet,Organic
124,2026-05-15 22:26:14.871113,Mobile,Direct
125,2026-05-21 10:22:04.585996,Mobile,Paid Social
126,2026-05-14 20:07:57.705507,Mobile,Direct
127,2026-05-18 18:54:11.120605,Tablet,Organic
128,2026-05-18 09:37:00.141951,Tablet,Paid Social
129,2026-05-23 15:33:25.322059,Desktop,Email
130,2026-05-08 22:13:56.324736,Tablet,Email
131,2026-05-08 05:30:42.454888,Desktop,Direct
132,2026-05-15 07:03:34.823335,Desktop,Organic
133,2026-05-15 14:19:28.658761,Desktop,Organic
134,2026-06-05 13:01:09.962856,Mobile,Direct
135,2026-05-28 06:35:21.721014,Mobile,Email
136,2026-05-13 13:15:43.269725,Desktop,Organic
137,2026-05-20 03:14:12.274926,Mobile,Organic
138,2026-05-12 02:43:29.536152,Desktop,Paid Social
139,2026-05-09 10:48:57.356300,Tablet,Direct
140,2026-05-28 12:55:03.862883,Mobile,Organic
141,2026-05-27 11:51:02.837848,Mobile,Organic
142,2026-05-31 15:16:52.433270,Mobile,Direct
143,2026-05-07 08:03:14.330277,Tablet,Email
144,2026-05-17 02:52:53.744148,Tablet,Direct
145,2026-05-26 16:08:09.174266,Desktop,Paid Social
